step,return_mean,return_std,foods_mean,foods_std
50,-19.547223676741122,6.730843997889352,17.2,6.833739825307955
100,-18.35292232632637,6.722956529464122,14.0,9.137833441248533
150,-17.33263141810894,4.812597551332528,11.8,6.1400325732035
200,-18.28034198731184,6.457854857868679,14.4,8.414273587185052
250,-15.865568920224906,4.358619759818716,9.4,3.974921382870358
300,-13.63042202591896,4.00470769653033,8.8,4.43846820423443
350,-14.301821506023407,1.9291708377050742,9.0,2.9154759474226504
400,-12.429597921669483,3.0230158132685347,8.4,1.6733200530681511
450,-11.507887272536754,2.934018841087077,6.2,2.588435821108957
500,-12.870389421284198,3.9750290984489087,7.4,2.073644135332772
550,-12.342111762613058,1.9827341995775676,7.0,0.7071067811865476
600,-13.133960020542144,1.822794631045742,8.0,1.5811388300841893
650,-8.235479410365224,1.6554624855127116,5.0,0.7071067811865475
700,-12.881780622899532,1.9377721446767744,6.4,0.8944271909999159
750,-12.0653712823987,2.318171689070019,6.6,1.1401754250991378
800,-12.889358109235763,2.878969726061966,8.4,6.348228099241551
850,-10.405057659745216,1.2956550390172383,6.2,1.3038404810405297
900,-9.73133974596858,1.3968474272369706,5.8,0.8366600265340755
950,-11.246126712486149,2.377863638280216,6.4,0.5477225575051662
1000,-12.85587205812335,2.6158077845500607,6.0,0.6666666666666665
1050,-10.09945188164711,2.4731936402199164,5.4,1.1401754250991383
1100,-9.97372097223997,2.0487077990338536,6.0,0.7071067811865476
1150,-13.480306954681874,2.8856064337028307,6.8,1.3038404810405297
1200,-10.544559782743454,1.2970288649493202,6.8,0.8366600265340756
1250,-9.35524146258831,0.9645691377860448,5.2,0.8366600265340755
1300,-10.764304171502591,3.9179588984527745,5.8,1.7888543819998317
1350,-10.48824775069952,2.1960849892314185,5.6,1.816590212458495
1400,-8.289012145251036,2.9403065971407503,5.4,0.8944271909999159
1450,-13.161733534932136,2.0610377430431064,5.0,1.224744871391589
1500,-11.153039702773095,1.7931813488914798,6.0,1.5811388300841898
1550,-12.666283068805933,2.0972033989954806,7.6,0.547722557505166
1600,-10.667008258402348,2.048593341154946,5.2,0.8366600265340756
1650,-12.35619102716446,1.829622331996393,6.8,1.0954451150103321
1700,-9.202347887679935,2.9401637199142803,6.4,1.1401754250991378
1750,-10.857539546489715,0.9609419960958705,5.6,0.5477225575051662
1800,-14.295272833108902,1.6768878074726739,6.6,0.8944271909999157
1850,-10.393534742295742,3.2519955783770236,4.8,1.4832396974191326
1900,-11.532384945452213,1.294326909353983,6.2,1.3038404810405297
1950,-10.401956564188003,2.6353953197345956,5.8,1.0954451150103324
2000,-8.452395886927842,1.0431079619067145,5.6,0.5163977794943223
2050,-10.345893916487693,0.3926935147670494,5.2,0.8366600265340756
2100,-10.317649908736348,2.731177854017559,4.6,1.6733200530681511
2150,-8.960626532137393,1.7851986231472032,4.6,0.5477225575051662
2200,-8.921319143474102,0.8821621948446975,5.2,0.8366600265340755
2250,-7.43182406425476,1.9056687505452885,5.4,0.8944271909999159
2300,-13.049619647860528,1.3997716910809839,5.2,1.0954451150103324
2350,-9.207704676687717,2.34657574124327,6.0,0.7071067811865475
2400,-11.672131672501564,1.3861364966491816,5.6,1.5165750888103102
2450,-8.834725384414195,1.7288561077698856,5.4,0.5477225575051661
