step,return_mean,return_std,foods_mean,foods_std
50,-22.723259285092354,7.7296671067804255,12.8,3.7682887362833544
100,-18.43697583079338,7.208556051631148,10.0,5.244044240850758
150,-8.543283930420875,5.806265329405068,6.4,1.9493588689617927
200,-11.347800086438657,4.370929073248384,8.0,1.0
250,-10.600181639939546,4.806076198763232,6.0,1.5811388300841898
300,-7.268066281080246,3.684317880085777,5.0,0.7071067811865476
350,-8.710430400073529,2.834990109950603,5.6,0.5477225575051662
400,-11.657083010673523,1.458998369173819,6.8,0.44721359549995787
450,-5.004201747477055,2.47233591535469,5.4,0.894427190999916
500,-7.22615108191967,2.32560976573506,5.4,0.547722557505166
550,-8.491257917881011,0.9058276292835724,5.6,0.5477225575051662
600,-11.591530433297157,1.1966630982744162,7.8,1.0954451150103324
650,-5.47579271197319,1.7939752167740721,4.4,0.894427190999916
700,-6.8925507217645645,2.1524459567270466,5.2,0.44721359549995787
750,-10.289545100927352,2.939450887975334,6.0,0.7071067811865476
800,-8.691901835799218,2.668917916877755,5.6,0.5477225575051662
850,-9.098894733190537,2.310371636203386,6.8,0.8366600265340756
900,-4.862135502696037,1.6056713360897659,4.6,0.5477225575051661
950,-3.823050719499588,1.4289611184752034,4.6,0.5477225575051661
1000,-7.996211735904216,0.8147172467596245,5.2,0.7888106377466158
1050,-4.064570742845535,2.5586358175144452,4.4,0.5477225575051662
1100,-5.460870911180973,3.041344900600815,5.0,0.7071067811865476
1150,-11.150810950994492,2.9260441701475766,6.2,1.0954451150103324
1200,-8.247663220763206,1.6564523929341932,6.4,1.3416407864998738
1250,-9.576919412612915,1.9895757610178801,5.0,0.7071067811865475
1300,-10.031332579255103,2.047490056344021,4.6,0.5477225575051662
1350,-7.390629498660564,2.4849936847132503,5.4,1.140175425099138
1400,-0.7638463512063026,2.1197308642698327,4.2,0.44721359549995804
1450,-11.04860574901104,2.744129089991804,4.2,1.0954451150103321
1500,-6.804540088772773,3.1680209105109984,5.6,1.1401754250991378
1550,-4.06556234806776,1.41620332414648,5.8,0.44721359549995787
1600,-8.88947410583496,2.306688334298294,4.4,0.5477225575051663
1650,-10.561281681060791,2.0472684325885946,7.2,0.44721359549995804
1700,-4.755714243650436,2.293161207977655,5.4,0.8944271909999157
1750,-11.97585720717907,1.3489450127783513,6.6,0.894427190999916
1800,-11.280670475959777,2.655087116781755,5.2,0.8366600265340757
1850,-8.49981746673584,1.5101718802909627,4.8,0.44721359549995804
1900,-10.38617180287838,1.3214472002195732,7.2,0.8366600265340753
1950,-4.2221045508980755,1.2880150369586179,4.2,0.44721359549995787
2000,-5.0057325780391695,0.4499725193688901,4.6,0.5163977794943223
2050,-8.38863373696804,0.9638051415723636,5.0,0.0
2100,-3.2948203712701796,1.5238114133489233,3.8,0.8366600265340756
2150,-5.127772003412247,0.5157693696880407,3.8,0.4472135954999579
2200,-5.705554488301277,1.8762273100983784,4.2,0.44721359549995787
2250,-0.2489493440836668,0.4620318923722805,4.4,0.5477225575051662
2300,-13.479247131943703,1.4901965562681465,5.4,0.547722557505166
2350,-3.580678531527519,2.688205016822748,5.0,0.7071067811865476
2400,-12.274858126044274,3.952031173131618,6.2,0.8366600265340756
2450,-6.233022448420525,0.18732232047093045,5.0,0.0
2500,-6.052777093648911,2.54169441958218,4.8,0.44721359549995787
2550,-4.2986596956849095,0.5258768814688491,4.0,0.0
2600,-5.150040429830551,0.8685249411042077,5.2,0.4472135954999579
2650,-9.329012310504913,2.0004146486844006,5.0,0.7071067811865476
2700,-0.9871724814176559,1.595761349113564,4.2,0.44721359549995787
2750,-4.9435636729002,0.6729420219814277,4.4,0.5477225575051662
2800,-7.691332533955574,0.0,4.0,0.0
2850,-2.991657055914402,0.0,4.0,0.0
2900,-3.5252946481108665,1.6312776834475382,4.2,0.44721359549995787
2950,-13.442590582370759,0.8960761915443871,7.0,0.0
3000,-9.500832632184029,0.5313669810438248,4.4,0.5163977794943223
3050,-6.916592067480087,1.0651316935763258,4.8,0.44721359549995804
3100,-2.3521367400884627,0.7228481999589617,3.8,0.4472135954999579
3150,-6.991214029490948,0.43234252441706433,5.4,0.5477225575051661
3200,-9.722283765673637,1.692467418421581,5.2,0.44721359549995787
3250,-5.440142852067948,1.8517191779171616,4.0,0.0
3300,-2.0895647682249545,2.0684284907091053,4.2,0.44721359549995787
3350,-6.692326176166534,0.7811838612558649,4.2,0.44721359549995787
3400,-2.3321795880794527,1.5980932866952704,5.2,0.44721359549995787
3450,-9.974745628237724,1.7934745847355682,5.6,0.5477225575051663
3500,-2.230670750141144,0.6370463587650915,4.0,0.0
3550,-6.376180499792099,0.0,5.0,0.0
3600,-5.237558118999004,1.3200840575662005,4.0,1.0
3650,-8.325853285193443,1.9651447122964196,4.8,0.8366600265340753
3700,-5.585026763379574,1.0078146033957507,3.8,0.8366600265340756
3750,-1.879643127322197,0.5405101615288606,4.0,0.0
3800,-4.544902265071869,1.6728148603931945,5.2,0.44721359549995804
3850,-4.050505965948105,0.0,5.0,0.0
3900,-9.443137389421462,0.9577738101565672,5.2,0.44721359549995804
3950,-5.086648252606392,1.5196105335318675,5.0,0.0
4000,-5.479428280889988,1.1330913908081421,4.2,0.4216370213557843
4050,-10.32600966989994,1.9369457140346826,5.0,0.7071067811865476
4100,-2.778375452756882,1.5216811176045575,4.0,0.0
4150,-4.022227917611599,1.2462367461723645,4.4,0.5477225575051662
4200,-10.008016675710678,2.2710142722595337,4.8,0.44721359549995787
4250,-8.591789504885673,1.6944717302734065,5.4,0.8944271909999159
4300,-3.197477711737156,0.42405050392576854,4.4,0.8944271909999159
4350,-6.182165107131004,0.2046156918876632,4.0,0.0
4400,-9.374010097980499,1.193378448643975,5.4,0.5477225575051662
4450,-3.8867688700556755,1.1465808987438084,5.0,0.0
4500,-6.061685778200626,1.8778287432711696,6.0,0.0
4550,-4.373257686197758,0.9710319317333045,4.2,0.44721359549995787
