step,return_mean,return_std,foods_mean,foods_std
50,-18.689294357597827,6.506856970774245,15.6,6.8044103344816
100,-17.490983428061007,3.971053867834537,14.8,5.215361924162119
150,-18.44956880658865,4.917022416830956,13.0,6.2048368229954285
200,-17.71683366894722,8.406394340566585,13.8,8.526429498916883
250,-19.785634979605675,3.8962603059017815,12.2,4.324349662087931
300,-13.37442288696766,4.244582626147758,7.6,4.03732584763727
350,-12.436983624473214,3.06077115241027,7.6,1.5165750888103102
400,-13.846182122081519,3.3431254085019,7.0,2.345207879911715
450,-13.396889543533325,3.5215070629346084,6.2,2.588435821108957
500,-13.17052540257573,5.3552532635029335,6.8,2.9495762407505253
550,-10.67634000852704,2.575653115962091,5.4,1.1401754250991383
600,-11.440060795843602,2.2200473512401766,4.4,1.3416407864998738
650,-8.83005841076374,1.0398980148683044,4.4,1.1401754250991378
700,-12.070418544113636,4.139537594887926,5.2,1.6431676725154984
750,-13.398536812514067,5.488377243307059,7.2,3.271085446759225
800,-11.996162900328637,3.5515584912407205,7.8,6.457553716385176
850,-11.795683261752128,2.0416198816163647,4.2,1.3038404810405297
900,-9.590685148537158,1.8749863601735233,5.0,2.345207879911715
950,-8.452242343872786,1.541445105932454,4.4,0.8944271909999159
1000,-11.025836616754532,1.2355810221883885,5.2,0.42163702135578407
1050,-10.600610946118831,2.0014276261995403,4.8,1.6431676725154982
1100,-11.449591025710106,6.108168727173813,7.4,5.412947441089743
1150,-12.641373160481454,3.7726625246873167,4.8,1.6431676725154984
1200,-9.901202614605427,0.7712417287153732,5.0,1.224744871391589
1250,-10.487715576589107,2.0661565195479774,5.2,0.8366600265340756
1300,-12.87880971506238,3.3804088777690158,6.8,0.8366600265340756
1350,-11.707251927256584,1.6323971813318563,4.8,1.0954451150103321
1400,-11.11333338022232,1.7361337260299887,5.4,0.894427190999916
1450,-13.750487122684717,3.9372199220135085,6.4,3.1304951684997055
1500,-10.83257478773594,1.9685652039308323,3.8,1.3038404810405297
1550,-13.200698386132718,3.030763075549264,3.6,1.6733200530681511
1600,-11.590781513601542,1.6401564386181702,5.0,0.7071067811865476
1650,-13.69586451202631,2.2057396375801064,6.4,0.5477225575051663
1700,-9.383625328540802,1.805183911784891,4.6,0.894427190999916
1750,-11.900896160304546,1.248859439531044,5.2,1.3038404810405297
1800,-12.46381816715002,1.186770824192201,5.0,1.0
1850,-10.46818249002099,2.5457370707080575,5.0,1.0
1900,-12.535962924361229,2.1505072234069895,6.2,0.8366600265340756
1950,-12.966565918549895,3.280797981543044,6.2,1.0954451150103321
2000,-10.116445864737035,2.0657675053857485,5.2,0.7888106377466155
2050,-12.716355658322573,3.9917937262049934,5.4,1.8165902124584947
2100,-10.110316306352615,3.114383459807558,4.6,1.5165750888103102
2150,-10.1490449257195,3.011520407764647,4.8,1.3038404810405297
2200,-10.982616667822004,0.9174024626698911,5.8,1.4832396974191324
2250,-7.914403625577688,2.68289674596528,4.6,1.3416407864998738
2300,-16.38356803804636,4.088806786143894,7.2,1.4832396974191326
2350,-8.919139134883881,2.232619939607526,4.8,1.3038404810405297
2400,-10.509289003163577,1.0786302565783006,4.6,1.140175425099138
2450,-9.203166685253382,1.361133630424131,4.4,1.3416407864998738
2500,-11.335624355077744,5.280537065836764,5.0,1.9999999999999998
2550,-8.788315196335315,1.3641789767797097,4.4,0.894427190999916
2600,-9.874744987487793,1.3962065119590077,4.6,1.140175425099138
2650,-11.51503781080246,3.0383857281428313,4.6,1.51657508881031
2700,-9.703057114779948,2.3228227867269324,5.4,1.51657508881031
2750,-13.753701432794333,5.18781251960586,6.8,1.3038404810405297
2800,-12.115606985241175,1.8081913785277037,6.0,1.224744871391589
2850,-13.776632614433765,2.652001455319597,6.4,1.6733200530681511
2900,-9.12941047437489,3.282880342305798,4.4,1.1401754250991378
